Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);;
01/01/2020;31,3;27,320833;23,6;;
02/01/2020;32,8;27,6875;23,1;;
03/01/2020;33,1;28,008333;24,1;;
04/01/2020;33,2;27,645833;22,3;;
05/01/2020;31,7;27,491667;23,5;;
06/01/2020;32,4;27,741667;23,2;;
07/01/2020;32,8;28,325;25,3;;
08/01/2020;32,8;27,245833;23,1;;
09/01/2020;32,5;28,154167;25,4;;
10/01/2020;33;28,073913;23;;
11/01/2020;33,2;28,379167;26;;
12/01/2020;33,1;27,375;22,6;;
13/01/2020;32,8;27,841667;22,5;;
14/01/2020;33;28,291667;24,5;;
15/01/2020;33,5;27,554167;21,8;;
16/01/2020;33;28,275;23,8;;
17/01/2020;33;28,383333;26,6;;
18/01/2020;32,5;28,183333;24,8;;
19/01/2020;32,4;28,1125;24,4;;
20/01/2020;32,1;27,554167;23,1;;
21/01/2020;33,4;27,8875;23;;
22/01/2020;33;27,616667;24;;
23/01/2020;31,4;27,8125;24,8;;
24/01/2020;32,4;27,8;24,9;;
25/01/2020;32,5;27,8125;24,9;;
26/01/2020;33,3;28,5;24,1;;
27/01/2020;32,8;28,654167;24,8;;
28/01/2020;33,3;28,166667;23,4;;
29/01/2020;32,2;27,958333;23,7;;
30/01/2020;32,2;28,191667;23,8;;
31/01/2020;32,6;27,620833;23,8;;
01/02/2020;30,6;27,2125;24,3;;
02/02/2020;32,4;27,633333;23,6;;
03/02/2020;32,7;27,570833;24,2;;
04/02/2020;32,7;28,341667;23,8;;
05/02/2020;32,8;28,433333;24,2;;
06/02/2020;32,9;28,216667;24,1;;
07/02/2020;33,3;28,395833;23,6;;
08/02/2020;32,6;27,875;23,1;;
09/02/2020;33;28,5375;24,5;;
10/02/2020;33,1;28,358333;24,1;;
11/02/2020;32,2;28,629167;25,5;;
12/02/2020;32,7;28,220833;24,3;;
13/02/2020;30,6;27,6625;24,8;;
14/02/2020;32,3;27,458333;23,6;;
15/02/2020;32,5;27,825;22,5;;
16/02/2020;32,2;27,2875;23,1;;
17/02/2020;33,1;28,0625;23,9;;
18/02/2020;32,1;28,7;25,1;;
19/02/2020;31,9;27,308333;23,2;;
20/02/2020;31,3;25,491667;22,9;;
21/02/2020;31,9;26,679167;22,5;;
22/02/2020;32,4;28,033333;24,4;;
23/02/2020;32,6;28,2;24,5;;
24/02/2020;32,4;28,3625;25,4;;
25/02/2020;32,3;28,05;25;;
26/02/2020;32,3;27,804167;24,3;;
27/02/2020;32,8;28,2875;24,4;;
28/02/2020;34,4;28,475;23,8;;
29/02/2020;32,9;28,6375;24,8;;
01/03/2020;31,6;27,404167;24,2;;
02/03/2020;32,7;28,0125;23,6;;
03/03/2020;33,7;28,641667;24,5;;
04/03/2020;33,8;28,825;24,1;;
05/03/2020;34,6;28,941667;23,6;;
06/03/2020;33,9;28,5375;24,1;;
07/03/2020;31,9;28,075;24,7;;
08/03/2020;33,4;28,1625;23,4;;
09/03/2020;33,1;27,641667;23,3;;
10/03/2020;33,4;27,441667;21,5;;
11/03/2020;33,4;27,954167;23,8;;
12/03/2020;32,5;27,8125;24,2;;
13/03/2020;31,8;27,175;24,1;;
14/03/2020;33,1;27,741667;23,8;;
15/03/2020;31;26,3625;24,2;;
16/03/2020;32,2;26,291667;23,2;;
17/03/2020;32,5;27,441667;22,9;;
18/03/2020;32,3;27,954167;23,9;;
19/03/2020;33,4;28,395833;24;;
20/03/2020;32,7;27,6625;23,2;;
21/03/2020;33,8;27,845833;23;;
22/03/2020;34,3;28,091667;23,6;;
23/03/2020;34,6;28,2875;23,9;;
24/03/2020;33,7;27,595833;23,8;;
25/03/2020;32,2;27,720833;24,6;;
26/03/2020;34;27,766667;23,1;;
27/03/2020;30,8;26,258333;23,5;;
28/03/2020;32,2;27,2375;23,7;;
29/03/2020;32;26,970833;24,2;;
30/03/2020;28,6;25,904167;23,4;;
31/03/2020;30,7;26,179167;23,8;;
01/04/2020;31,4;26,3125;23,5;;
02/04/2020;31,4;26,2375;23,8;;
03/04/2020;31,8;27,229167;24,2;;
04/04/2020;32,9;27,883333;24,2;;
05/04/2020;32,9;28,3875;24,8;;
06/04/2020;32,3;28,329167;25,2;;
07/04/2020;31,8;27,15;23,6;;
08/04/2020;32;27,283333;23,1;;
09/04/2020;32,9;27,516667;23,5;;
10/04/2020;33,1;28,241667;23,9;;
11/04/2020;33,5;28,3375;24,2;;
12/04/2020;33;27,8875;23,3;;
13/04/2020;32,6;27,8875;22,9;;
14/04/2020;32,8;27,258333;22,6;;
15/04/2020;32,7;26,566667;22,2;;
16/04/2020;30,2;25,95;23,9;;
17/04/2020;32;26,954167;24,3;;
18/04/2020;33,1;27,25;23,4;;
19/04/2020;29,8;26,095833;24,1;;
20/04/2020;31,2;26,05;23,8;;
21/04/2020;30;25,883333;22,9;;
22/04/2020;27,8;25,004167;22,8;;
23/04/2020;31,7;26,725;23,1;;
24/04/2020;26,8;24,941667;23,5;;
25/04/2020;30;25,55;22;;
26/04/2020;31,4;25,975;23,1;;
27/04/2020;30,3;25,516667;22,9;;
28/04/2020;31,1;26,416667;22,4;;
29/04/2020;31,3;26,433333;22,9;;
30/04/2020;30,8;25,654167;23,5;;
01/05/2020;31,7;26,083333;22,2;;
02/05/2020;31,9;26,85;23,1;;
03/05/2020;31,6;26,7625;22,8;;
04/05/2020;31,3;26,6375;22,7;;
05/05/2020;30;26,795833;24;;
06/05/2020;31,4;27,383333;24;;
07/05/2020;31,6;26,591667;22,6;;
08/05/2020;31,4;26,095833;21,6;;
09/05/2020;30,4;26;22,7;;
10/05/2020;30,6;26,034783;21,6;;
11/05/2020;31,5;26,158333;21,8;;
12/05/2020;31,1;25,866667;23,3;;
13/05/2020;31,1;25,795833;22,8;;
14/05/2020;30,6;26,366667;23,5;;
15/05/2020;29,3;25,4125;24,1;;
16/05/2020;27,9;24,633333;23,8;;
17/05/2020;29,3;25,354167;23;;
18/05/2020;31,1;26,2625;23,2;;
19/05/2020;31,4;26,391667;23,6;;
20/05/2020;28,8;25,75;23,8;;
21/05/2020;31;26,3375;23;;
22/05/2020;31;26,483333;23,2;;
23/05/2020;27,5;24,645833;23,2;;
24/05/2020;29,9;25,3375;23,2;;
25/05/2020;29,2;25,058333;22,9;;
26/05/2020;32,6;26,875;23,1;;
27/05/2020;32,2;26,579167;23,3;;
28/05/2020;31,8;26,579167;23,3;;
29/05/2020;27,9;24,570833;22,6;;
30/05/2020;28,9;24,933333;23;;
31/05/2020;30,7;25,579167;22,4;;
01/06/2020;31,1;25,470833;22,3;;
02/06/2020;31,7;25,979167;22,7;;
03/06/2020;31,5;26,204167;22,5;;
04/06/2020;30,2;26,079167;23,6;;
05/06/2020;30;25,591667;22,6;;
06/06/2020;28,9;24,866667;21,8;;
07/06/2020;28,8;24,329167;22,9;;
08/06/2020;29,5;25,083333;22,1;;
09/06/2020;29,9;25,208333;23;;
10/06/2020;29,8;24,966667;22,6;;
11/06/2020;30,2;25,7375;22,7;;
12/06/2020;30,2;25,733333;22,5;;
13/06/2020;31;25,770833;21,5;;
14/06/2020;30,1;25,058333;22,6;;
15/06/2020;29,4;24,770833;23;;
16/06/2020;28,6;24,704167;22,6;;
17/06/2020;28,8;24,866667;22,9;;
18/06/2020;29;24,925;22;;
19/06/2020;29,1;25,2125;23;;
20/06/2020;29,7;26,45;24,6;;
21/06/2020;29,7;25,7;21;;
22/06/2020;29,9;24,595833;20,3;;
23/06/2020;30,2;26,4125;23,2;;
24/06/2020;28,9;25,025;22,2;;
25/06/2020;29,9;25,8625;21,9;;
26/06/2020;27,7;24,166667;21,7;;
27/06/2020;29,5;24,395833;20,8;;
28/06/2020;28,2;23,545833;21,5;;
29/06/2020;29;24,2875;22;;
30/06/2020;28,9;23,375;20,4;;
01/07/2020;29,2;24,058333;21,3;;
02/07/2020;29;24,616667;21,1;;
03/07/2020;29,1;24,425;22;;
04/07/2020;28,9;23,9625;19,7;;
05/07/2020;27,2;24,0375;21,9;;
06/07/2020;27,4;24,633333;23,2;;
07/07/2020;29,1;23,8625;19,9;;
08/07/2020;29,7;24,5125;21,5;;
09/07/2020;28,4;24,733333;22,3;;
10/07/2020;29,1;25,054167;21,8;;
11/07/2020;28,6;23,579167;21,5;;
12/07/2020;28,7;24,4375;21,5;;
13/07/2020;30;23,825;19,7;;
14/07/2020;29,2;24,3875;21;;
15/07/2020;29,1;24,383333;21,1;;
16/07/2020;28,2;24,441667;22,4;;
17/07/2020;27,5;22,883333;20,1;;
18/07/2020;27,9;24,120833;21,4;;
19/07/2020;28,6;24,017391;20,6;;
20/07/2020;28,1;24,775;22,4;;
21/07/2020;28,7;23,941667;20,1;;
22/07/2020;28,9;24,908333;21,2;;
23/07/2020;28,4;23,904167;20,4;;
24/07/2020;28,1;23,717391;20;;
25/07/2020;27,9;24,470833;21,2;;
26/07/2020;27,3;23,866667;21,4;;
27/07/2020;28,6;25,045833;21,9;;
28/07/2020;28,8;25,666667;24;;
29/07/2020;26,9;23,829167;21,3;;
30/07/2020;28,5;24,383333;20,4;;
31/07/2020;28,2;23,966667;20,4;;
01/08/2020;28,2;24,858333;22,2;;
02/08/2020;27,7;24,2;21,4;;
03/08/2020;27,9;23,858333;20,8;;
04/08/2020;27,8;24,025;20,6;;
05/08/2020;27,7;24,275;21,2;;
06/08/2020;27,5;24,716667;21,3;;
07/08/2020;28,2;24,929167;23,6;;
08/08/2020;28,2;23,966667;20,8;;
09/08/2020;27,6;24,2;22,2;;
10/08/2020;28,1;24,0625;20,6;;
11/08/2020;28,7;24,304167;21,3;;
12/08/2020;28;23,079167;19,3;;
13/08/2020;28;23,2625;21,7;;
14/08/2020;28,3;23,208333;18,9;;
15/08/2020;29,1;24,0875;20,8;;
16/08/2020;29;24,945833;21,7;;
17/08/2020;28,4;25,016667;22,1;;
18/08/2020;28,5;24,816667;21,5;;
19/08/2020;29,1;24,208333;19,4;;
20/08/2020;28,9;23,7125;19,3;;
21/08/2020;27,5;24,7;22,8;;
22/08/2020;28,3;23,958333;20,4;;
23/08/2020;28,4;24,075;20,6;;
24/08/2020;28,8;23,369565;18,6;;
25/08/2020;28,8;23,572727;18,1;;
26/08/2020;27,9;24,370833;21,6;;
27/08/2020;28,2;24,004348;19,6;;
28/08/2020;29,2;24,254167;19,6;;
29/08/2020;29,5;25,633333;23,1;;
30/08/2020;29,6;25,804167;24,5;;
31/08/2020;28,6;25,270833;22,7;;
01/09/2020;28;24,6125;22;;
02/09/2020;28,1;24,220833;21,6;;
03/09/2020;26,8;23,1875;20,6;;
04/09/2020;28,3;24,808333;22,3;;
05/09/2020;28,2;24,554167;20,7;;
06/09/2020;28,6;23,804167;19,9;;
07/09/2020;28,7;23,729167;19,9;;
08/09/2020;29,2;24,254167;19,6;;
09/09/2020;28,7;24,604167;21,7;;
10/09/2020;28,7;25,670833;23,5;;
11/09/2020;27,5;25,325;23,3;;
12/09/2020;28,2;25,404167;22,1;;
13/09/2020;29;25,6375;23,8;;
14/09/2020;28,9;24,833333;21,6;;
15/09/2020;28,6;25,241667;22,3;;
16/09/2020;28,1;25,379167;23,9;;
17/09/2020;28,8;24,2875;20,5;;
18/09/2020;29,4;24,3625;19,8;;
19/09/2020;29,9;26,029167;22,6;;
20/09/2020;30,4;26,216667;22,1;;
21/09/2020;30,6;26,65;24;;
22/09/2020;30;26,445833;24,5;;
23/09/2020;30;25,683333;21,3;;
24/09/2020;29,4;25,504167;21,8;;
25/09/2020;28,9;24,958333;21,7;;
26/09/2020;29,6;25,245833;21,1;;
27/09/2020;30,3;25,033333;20,5;;
28/09/2020;29;25,445833;23,1;;
29/09/2020;29,8;26,2;22,1;;
30/09/2020;29,4;25,779167;21,9;;
01/10/2020;29,8;26,308333;24;;
02/10/2020;29,5;26,045833;22,3;;
03/10/2020;29,1;26,154167;23,2;;
04/10/2020;30;25,358333;21,1;;
05/10/2020;29,1;25,283333;21,5;;
06/10/2020;30,4;26,275;22;;
07/10/2020;30,8;26,929167;24,1;;
08/10/2020;31,6;26,45;22,1;;
09/10/2020;32,2;27,145833;22,4;;
10/10/2020;31,9;26,491667;21,8;;
11/10/2020;32;26,4625;21,7;;
12/10/2020;31,3;25,533333;20,4;;
13/10/2020;29,8;26,433333;22,7;;
14/10/2020;27,9;25,016667;23;;
15/10/2020;29,9;25,45;22,4;;
16/10/2020;30,5;25,4125;20,6;;
